POP,LOCAL,Habitat,COND,TSF,Nfires
(1)Leonte,Geres,NAT,UNBURN,26,1
(2)Campo,Geres,NAT,BURN,5,4
(3)Castelo,Lanhoso,HUMAN,UNBURN,40,0
(4)Luilhas,Lanhoso,NAT,BURN,5,8
(5)Parada,Lindoso,HUMAN,UNBURN,40,0
(6)Barragem,Lindoso,NAT,BURN,6,2
