POP,LOCAL,HAB,COND,Air Temp,HGR,INC,SOIL,VEG,ROCK,ROCK_RM,WALL,ROCKD,SOIL1,VEG1,ROCK1,SOIL1_T,VEG1_T,ROCK1_T,SUBTEMP,APPROACH,FLIGHT,REFUGE,REFUGETEMP,SOIL2,VEG2,ROCK2,SOIL2_T,VEG2_T,ROCK2_T,COLOR,TAIL
(6)Barragem,Lindoso,NAT,BURN,30.4,90,90,0,0,0,1,0,RM,0,0.25,0.75,0,0.252680255,0.848062079,29.9,555,75,rock,21.2,0,0.15,0.85,0,0.150568273,1.015985294,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,29.3,130,65,0,0,0,1,0,RM,0,0.1,0.9,0,0.100167421,1.119769515,37.9,540,80,rock,10,0,0,1,0,0,1.570796327,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,30.1,160,90,0,0,0,1,0,RM,0,0,1,0,0,1.570796327,23.2,360,150,rock,21.8,0,0.5,0.5,0,0.523598776,0.523598776,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,32.8,100,50,0,0,0,1,0,RM,0,0.1,0.9,0,0.100167421,1.119769515,43.3,240,100,rock,24.2,0,0.3,0.7,0,0.304692654,0.775397497,Spot,ok
(6)Barragem,Lindoso,NAT,BURN,33.3,55,10,0,0,1,0,0,150,0.2,0,0.8,0.201357921,0,0.927295218,39.2,370,60,rock,24.2,0.2,0,0.8,0.201357921,0,0.927295218,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,19,35,30,0,0,1,0,0,150,0,0.2,0.8,0,0.201357921,0.927295218,9.8,375,45,rock,6.4,0,0.2,0.8,0,0.201357921,0.927295218,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,24.5,80,0,0,0,0,0,1,,0,0.1,0.9,0,0.100167421,1.119769515,26.1,235,15,rock,13.4,0,0.1,0.9,0,0.100167421,1.119769515,Spot,reg
(6)Barragem,Lindoso,NAT,BURN,18.4,15,10,0,0,1,0,0,30,0.1,0.6,0.3,0.100167421,0.643501109,0.304692654,24.3,290,30,veg,14.9,0.1,0.6,0.3,0.100167421,0.643501109,0.304692654,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,23.1,75,40,0,0,0,1,0,RM,0,0.3,0.7,0,0.304692654,0.775397497,34.2,255,80,rock,35,0,0.4,0.6,0,0.411516846,0.643501109,Spot,ok
(6)Barragem,Lindoso,NAT,BURN,23.1,20,65,0,0,0,1,0,RM,0,0.45,0.55,0,0.466765339,0.582364238,30.7,310,70,veg,18.3,0,0.3,0.7,0,0.304692654,0.775397497,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,25.6,105,30,0,0,0,1,0,RM,0.1,0.1,0.8,0.100167421,0.100167421,0.927295218,12.4,335,30,veg,6.3,0.1,0.15,0.75,0.100167421,0.150568273,0.848062079,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,25.7,140,30,0,0,0,1,0,RM,0,0.2,0.8,0,0.201357921,0.927295218,32.2,100,10,rock,28.9,0,0.2,0.8,0,0.201357921,0.927295218,Spot,reg
(6)Barragem,Lindoso,NAT,BURN,21.6,40,90,0,0,0,0,1,,0.2,0.1,0.7,0.201357921,0.100167421,0.775397497,27.4,265,40,soil,34.2,0.3,0.2,0.5,0.304692654,0.201357921,0.523598776,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,28,55,50,0,0,0,1,0,RM,0.1,0.15,0.75,0.100167421,0.150568273,0.848062079,39.2,290,50,rock,21.3,0.05,0.15,0.8,0.050020857,0.150568273,0.927295218,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,24.5,55,75,0,0,0,1,0,RM,0.1,0.15,0.75,0.100167421,0.150568273,0.848062079,14.6,195,40,rock,11.7,0.1,0.15,0.75,0.100167421,0.150568273,0.848062079,Spot,reg
(6)Barragem,Lindoso,NAT,BURN,28,135,55,0,1,0,0,0,,0,0.2,0.8,0,0.201357921,0.927295218,45.1,100,10,rock,13.3,0,0.2,0.8,0,0.201357921,0.927295218,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,28,40,20,0,0,0,1,0,RM,0,0.5,0.5,0,0.523598776,0.523598776,31.4,280,90,veg,21.2,0,0.6,0.4,0,0.643501109,0.411516846,Spot,reg
(6)Barragem,Lindoso,NAT,BURN,31.6,120,60,0,0,0,1,0,RM,0,0.05,0.95,0,0.050020857,1.253235898,12.8,275,90,rock,9.2,0.05,0.1,0.85,0.050020857,0.100167421,1.015985294,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,29.6,60,55,0,0,0,1,0,RM,0.1,0.3,0.6,0.100167421,0.304692654,0.643501109,30.8,150,95,veg,20.4,0,0.5,0.5,0,0.523598776,0.523598776,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,30.3,120,20,0,0,0,1,0,RM,0.05,0.2,0.75,0.050020857,0.201357921,0.848062079,33.7,320,140,veg,33.2,0.1,0.3,0.6,0.100167421,0.304692654,0.643501109,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,27.8,55,40,0,0,0,1,0,RM,0.1,0.25,0.65,0.100167421,0.252680255,0.707584437,29.6,180,10,rock,25.4,0.1,0.25,0.65,0.100167421,0.252680255,0.707584437,Spot,ok
(6)Barragem,Lindoso,NAT,BURN,25.6,85,40,0,0,0,1,0,RM,0,0.3,0.7,0,0.304692654,0.775397497,27.3,205,80,rock,18.7,0,0.1,0.9,0,0.100167421,1.119769515,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,25.4,75,45,0,0,0,1,0,RM,0,0.2,0.8,0,0.201357921,0.927295218,26.6,160,50,rock,21.1,0,0.1,0.9,0,0.100167421,1.119769515,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,25.1,50,60,0,0,0,1,0,RM,0,0.3,0.7,0,0.304692654,0.775397497,32.9,240,35,veg,36,0,0.3,0.7,0,0.304692654,0.775397497,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,25.7,90,70,0,0,0,1,0,RM,0,0.1,0.9,0,0.100167421,1.119769515,29.4,310,60,rock,26.3,0,0.1,0.9,0,0.100167421,1.119769515,Spot,reg
(6)Barragem,Lindoso,NAT,BURN,27.4,65,15,0,0,0,1,0,RM,0,0.2,0.8,0,0.201357921,0.927295218,38.4,380,50,veg,28.9,0,0.35,0.65,0,0.357571104,0.707584437,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,27.8,110,30,0,0,0,1,0,RM,0,0.4,0.6,0,0.411516846,0.643501109,29.9,215,35,rock,20.1,0,0.4,0.6,0,0.411516846,0.643501109,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,18.7,20,30,0,0,0,0,1,,0,0.5,0.5,0,0.523598776,0.523598776,35.3,200,20,wall,11.4,0,0.4,0.6,0,0.411516846,0.643501109,Spot,reg
